Geolocation;Species;2002 Annual;2003 Annual;2004 Annual;2005 Annual;2006 Annual;2007 Annual;2008 Annual;2009 Annual;2010 Annual;2011 Annual;2012 Annual;2013 Annual;2014 Annual;2015 Annual;2016 Annual;2017 Annual;2018 Annual;2019 Annual;2020 Annual;2021 Annual;2022 Annual;2023 Annual
Palawan;Acetes (Alamang);679.00;427.00;759.00;553.52;569.20;521.50;816.28;353.44;15.61;3.89;19.71;36.13;42.81;27.40;18.92;14.45;36.43;42.35;61.46;72.94;29.05;93.80
Palawan;Anchovies (Dilis);5917.00;6407.00;6132.00;5581.35;9155.13;8151.00;6338.35;6773.99;4710.13;3827.91;2861.49;2983.63;3212.94;2619.60;1792.11;2270.96;1769.22;1530.88;1398.84;1339.93;825.71;2388.32
Palawan;Big-eyed scad (Matangbaka);3725.00;6286.00;6460.00;7273.30;10467.50;8968.42;11790.73;11674.02;13219.95;10392.35;8640.83;7814.99;7936.13;8903.64;7194.89;5543.28;8060.22;6450.95;6514.48;6403.12;2246.27;6541.29
Palawan;Bigeye tuna (Tambakol/ Bariles);;;;1640.21;3145.66;3520.00;4633.49;446.61;671.82;550.78;387.39;493.38;558.45;590.29;799.61;885.25;744.54;912.04;984.46;1015.94;139.72;273.41
Palawan;Blue crab (Alimasag);2538.00;2594.00;3202.00;2785.23;2973.78;3485.96;4353.32;3671.17;3077.52;3103.45;3326.53;3369.92;4493.46;3538.40;2539.06;2704.31;5051.96;5077.22;5165.71;5049.38;2145.07;3118.49
Palawan;Caesio (Dalagang-bukid);1564.00;1261.00;1694.00;2256.76;3429.65;3884.39;5587.79;5852.48;6593.51;6449.71;6121.74;6050.52;5408.57;4426.45;4445.17;4672.73;3836.74;4243.49;4170.43;4352.22;3815.85;2774.66
Palawan;Cavalla (Talakitok);3025.00;2551.00;3359.50;3927.42;5855.90;6534.94;10739.65;8356.33;8699.02;9001.44;8522.74;6508.43;5274.81;5905.25;4344.83;4166.60;3621.87;3977.37;4674.24;4436.13;3248.60;3363.50
Palawan;Crevalle (Salay-salay);10238.00;13658.00;8837.00;8358.39;11982.49;11100.00;12858.56;11508.28;13125.08;9803.49;8058.51;7245.87;7103.20;6671.06;4493.20;4423.90;5274.17;4411.26;4399.73;4104.93;1677.41;3712.94
Palawan;Eastern little tuna (Bonito);3.00;2575.00;4675.00;4868.44;7298.34;6451.00;5576.24;3327.07;2825.67;3772.48;3077.29;2056.97;2537.22;2015.30;2026.83;1798.26;1157.97;1025.91;1065.04;1210.53;455.01;951.21
Palawan;Fimbriated sardines (Tunsoy);2428.00;3373.00;5244.00;5439.23;9547.68;9050.00;6901.63;6003.90;4660.66;5417.57;6220.11;3120.56;2378.18;2960.38;2106.71;2476.42;2085.97;2028.45;1962.55;1894.31;437.13;212.63
Palawan;Flying fish (Bolador);;447.00;463.00;482.10;817.85;847.66;1274.48;1153.54;689.28;427.01;309.11;400.95;177.88;286.29;165.66;233.61;243.73;309.29;396.63;387.44;65.89;90.13
Palawan;Frigate tuna (Tulingan);5879.00;6762.00;8140.00;8201.64;12658.97;11763.51;14203.52;12548.88;10247.16;8404.50;6876.26;8805.94;7899.61;6994.77;6343.10;6275.16;5552.98;4262.06;5047.93;4877.21;2026.69;3194.80
Palawan;Goatfish (Saramulyete);1914.00;2375.00;2037.00;1891.50;2860.85;2403.00;1979.63;1560.24;2402.87;2423.36;2428.26;3026.16;3391.32;4173.96;4251.03;4023.09;2770.78;3041.22;3918.23;3279.46;726.85;877.65
Palawan;Grouper (Lapu-lapu);3678.00;3032.00;4670.00;3856.72;4537.24;4751.19;6105.22;4074.69;4009.58;4562.70;4347.83;2455.21;2274.73;2810.36;2272.60;2296.77;2910.69;3020.00;3183.20;2584.00;1746.25;3056.53
Palawan;Hairtail (Espada);679.00;423.00;926.00;751.12;1012.45;1039.60;1525.24;1248.39;1150.40;1312.60;1293.07;1937.09;1112.69;1188.54;1204.51;1834.97;1105.85;1007.47;1015.84;1115.71;290.28;467.08
Palawan;Indian mackerel (Alumahan);3146.00;7305.00;6849.00;7341.95;10643.11;8603.24;11771.50;12810.23;10456.72;10289.57;7892.83;7195.41;6698.98;8268.34;7232.87;5804.56;4727.79;4445.52;4688.93;4386.35;3890.85;13081.44
Palawan;Bali sardinella (Tamban);4125.00;7044.00;9470.00;9307.83;13332.75;11559.08;10569.32;10948.68;10045.71;9142.20;9153.28;7816.33;5787.15;5323.37;4102.43;3754.43;3886.37;3999.82;3166.70;3040.53;1123.32;1219.63
Palawan;Indo-pacific mackerel (Hasa-hasa);2329.00;3459.00;4991.00;4646.18;6648.72;4883.54;6347.32;6214.63;5318.04;5921.24;6064.44;4968.57;3287.27;3265.79;3461.18;3520.50;3608.52;4890.63;4384.31;4068.69;669.59;671.73
Palawan;Mullet (Kapak);710.00;378.00;522.00;523.33;718.20;736.09;981.10;897.31;801.77;1063.66;842.63;669.47;662.92;1032.30;994.53;1373.08;1128.99;1083.21;1034.56;1000.24;732.41;338.71
Palawan;Parrot fish (Loro);1615.00;1409.00;2018.50;1960.63;2719.85;3187.64;2500.10;2270.66;2323.51;2915.00;3558.33;3918.34;3555.11;3372.46;2616.10;2535.77;2433.99;2913.32;3279.23;2682.89;1951.63;1405.82
Palawan;Porgies (Pargo);976.00;119.00;340.00;313.72;306.29;307.30;1333.40;1080.56;782.29;941.11;881.47;495.70;481.47;560.10;827.60;298.39;250.79;416.79;420.75;583.28;120.73;103.99
